Category,Code,Name,Width (mm),Thickness (mm),Diameter (mm),Depth (mm),Flange TF (mm),Web TW (mm),Weight (kg/m),Length Options (m),Grade,Standard
Flats,SF01603,Mild Steel Flat 16x3mm,16,3,,,,,0.38,6.0,300,AS/NZS 3679.1-300
Flats,SF02003,Mild Steel Flat 20x3mm,20,3,,,,,0.47,6.0,300,AS/NZS 3679.1-300
Flats,SF02005,Mild Steel Flat 20x5mm,20,5,,,,,0.79,6.0,300,AS/NZS 3679.1-300
Flats,SF02006,Mild Steel Flat 20x6mm,20,6,,,,,0.94,6.0,300,AS/NZS 3679.1-300
Flats,SF02010,Mild Steel Flat 20x10mm,20,10,,,,,1.57,6.0,300,AS/NZS 3679.1-300
Flats,SF02503,Mild Steel Flat 25x3mm,25,3,,,,,0.59,6.0,300,AS/NZS 3679.1-300
Flats,SF02505,Mild Steel Flat 25x5mm,25,5,,,,,0.98,6.0,300,AS/NZS 3679.1-300
Flats,SF02506,Mild Steel Flat 25x6mm,25,6,,,,,1.18,6.0,300,AS/NZS 3679.1-300
Flats,SF02508,Mild Steel Flat 25x8mm,25,8,,,,,1.57,6.0,300,AS/NZS 3679.1-300
Flats,SF02510,Mild Steel Flat 25x10mm,25,10,,,,,1.96,6.0,300,AS/NZS 3679.1-300
Flats,SF02512,Mild Steel Flat 25x12mm,25,12,,,,,2.36,6.0,300,AS/NZS 3679.1-300
Flats,SF03003,Mild Steel Flat 30x3mm,30,3,,,,,0.71,6.0,300,AS/NZS 3679.1-300
Flats,SF03005,Mild Steel Flat 30x5mm,30,5,,,,,1.18,6.0,300,AS/NZS 3679.1-300
Flats,SF03010,Mild Steel Flat 30x10mm,30,10,,,,,2.36,6.0,300,AS/NZS 3679.1-300
Flats,SF03203,Mild Steel Flat 32x3mm,32,3,,,,,0.75,6.0,300,AS/NZS 3679.1-300
Flats,SF03205,Mild Steel Flat 32x5mm,32,5,,,,,1.26,6.0,300,AS/NZS 3679.1-300
Flats,SF03206,Mild Steel Flat 32x6mm,32,6,,,,,1.51,6.0,300,AS/NZS 3679.1-300
Flats,SF03208,Mild Steel Flat 32x8mm,32,8,,,,,2.01,6.0,300,AS/NZS 3679.1-300
Flats,SF04003,Mild Steel Flat 40x3mm,40,3,,,,,0.94,6.0,300,AS/NZS 3679.1-300
Flats,SF04005,Mild Steel Flat 40x5mm,40,5,,,,,1.57,6.0,300,AS/NZS 3679.1-300
Flats,SF04006,Mild Steel Flat 40x6mm,40,6,,,,,1.88,6.0,300,AS/NZS 3679.1-300
Flats,SF04008,Mild Steel Flat 40x8mm,40,8,,,,,2.51,6.0,300,AS/NZS 3679.1-300
Flats,SF04010,Mild Steel Flat 40x10mm,40,10,,,,,3.14,6.0,300,AS/NZS 3679.1-300
Flats,SF04012,Mild Steel Flat 40x12mm,40,12,,,,,3.77,6.0,300,AS/NZS 3679.1-300
Flats,SF04016,Mild Steel Flat 40x16mm,40,16,,,,,5.02,6.0,300,AS/NZS 3679.1-300
Flats,SF05003,Mild Steel Flat 50x3mm,50,3,,,,,1.18,6.0,300,AS/NZS 3679.1-300
Flats,SF05005,Mild Steel Flat 50x5mm,50,5,,,,,1.96,6.0,300,AS/NZS 3679.1-300
Flats,SF05006,Mild Steel Flat 50x6mm,50,6,,,,,2.36,6.0,300,AS/NZS 3679.1-300
Flats,SF05008,Mild Steel Flat 50x8mm,50,8,,,,,3.14,6.0,300,AS/NZS 3679.1-300
Flats,SF05010,Mild Steel Flat 50x10mm,50,10,,,,,3.93,6.0,300,AS/NZS 3679.1-300
Flats,SF05012,Mild Steel Flat 50x12mm,50,12,,,,,4.71,6.0,300,AS/NZS 3679.1-300
Flats,SF05016,Mild Steel Flat 50x16mm,50,16,,,,,6.28,6.0,300,AS/NZS 3679.1-300
Flats,SF05020,Mild Steel Flat 50x20mm,50,20,,,,,7.85,6.0,300,AS/NZS 3679.1-300
Flats,SF05025,Mild Steel Flat 50x25mm,50,25,,,,,9.81,6.0,300,AS/NZS 3679.1-300
Flats,SF06006,Mild Steel Flat 60x6mm,60,6,,,,,2.83,6.0,300,AS/NZS 3679.1-300
Flats,SF06010,Mild Steel Flat 60x10mm,60,10,,,,,4.71,6.0,300,AS/NZS 3679.1-300
Flats,SF06012,Mild Steel Flat 60x12mm,60,12,,,,,5.65,6.0,300,AS/NZS 3679.1-300
Flats,SF06503,Mild Steel Flat 65x3mm,65,3,,,,,1.53,6.0,300,AS/NZS 3679.1-300
Flats,SF06505,Mild Steel Flat 65x5mm,65,5,,,,,2.55,6.0,300,AS/NZS 3679.1-300
Flats,SF06506,Mild Steel Flat 65x6mm,65,6,,,,,2.06,6.0,300,AS/NZS 3679.1-300
Flats,SF06508,Mild Steel Flat 65x8mm,65,8,,,,,4.01,6.0,300,AS/NZS 3679.1-300
Flats,SF06510,Mild Steel Flat 65x10mm,65,10,,,,,5.10,6.0,300,AS/NZS 3679.1-300
Flats,SF06516,Mild Steel Flat 65x16mm,65,16,,,,,8.16,6.0,300,AS/NZS 3679.1-300
Flats,SF07503,Mild Steel Flat 75x3mm,75,3,,,,,1.77,6.0,300,AS/NZS 3679.1-300
Flats,SF07505,Mild Steel Flat 75x5mm,75,5,,,,,2.94,6.0,300,AS/NZS 3679.1-300
Flats,SF07506,Mild Steel Flat 75x6mm,75,6,,,,,3.53,6.0,300,AS/NZS 3679.1-300
Flats,SF07508,Mild Steel Flat 75x8mm,75,8,,,,,4.71,6.0,300,AS/NZS 3679.1-300
Flats,SF07510,Mild Steel Flat 75x10mm,75,10,,,,,5.89,6.0,300,AS/NZS 3679.1-300
Flats,SF07512,Mild Steel Flat 75x12mm,75,12,,,,,7.07,6.0,300,AS/NZS 3679.1-300
Flats,SF07516,Mild Steel Flat 75x16mm,75,16,,,,,9.42,6.0,300,AS/NZS 3679.1-300
