DESCRIPTION	LEL 	CLIENT	REMARKS
PRE FABRICATION			
SEND QUOTE			2 - 5 working days
ACCEPTANCE OF QUOTATION - CLIENT			
 ISSUE PURCHASE ORDER, SIGNED CONTRACT 			
REVIEW QUOTE VALIDITY			
ISSUE OF QUOTATION, PRICES OF ITEMS(e.g. materials)			
ACCEPTANCE OF JOB			
SIGN PURCHASE ORDER/CONTRACT SEND BACK TO THE CLIENT			
PAYMENT OF 50% DEPOSITE, IF NOT OTHERWISE AGREED 			
PRE-LET MEETING			sometimes not needed
PROJECT PROGRAM/SCHEDULE			
ASK FOR FINAL DRAWINGS, PRE-NAIL DRAWINGS			
ORGANIZE  DETAILER FOR SHOP DRAWING			
LEAD TIMES			
SEND REQUEST FOR INFORMATION			communication: detailer - LEL - client - LEL - detailer
SITE MEASUREMENT			by LEL if allowed on quote or client to provide
ISSUE SHOP DRAWINGS FOR APPROVAL			
IF THERE ARE DESIGN CHANGES - ISSUE REVISE QUOTE/REVESION 			to be approved before fabrication, detailer to inform LEL of changes
			
SUBMISSION OF SHOP DRAWING			
APPROVAL OF SHOP DRAWING			
PURCHASE MATERIALS( steel, plates, consumables etc)			
SUBMIT ITP			
APPROVAL OF ITP			
FABRICATION STAGE			
ISSUE SHOP DRAWINGS			by detailer
TO FABRICATORS			
TO CLIENT			by LEL
PRODUCTION MONITORING			
PREPARATION OF FABRICATION DOCUMENTS(ITP, WPS, mill certs)			
ORGANIZE DATE OF DELIVERY AND PICK UP FOR COATING			
PAINTING, HDG600 OR POWDERCOAT			
HIRE HIAB			if to be outsource
POST FABRICATION/ INSTALLATION			
ORGANIZE RIGGIRS/INSTALLERS			if to be outsource
PRE-LET MEETING			
LEAD TIMES			
COST			
EQUIPMENT REQUIREMENTS			
ORGANIZE DELIVERY & INSTALL DATE			
HIRE HIAB AND OTHER EQUIPMENT			
DELIVERY DOCKETS			
PURCHASE OTHER MATERIALS(fixings - bolts masonry/concrete anchors etc)			
INSTALLATION			
MANPOWER			
BOLTS, ANCHORS 			
STEEL			
EQUIPTMENT 			
POST  INSTALLATION			
INSPECTION/ACCEPTANCE REPORT			report must be signed by LEL and site manager
INVOICING FOR FINAL PAYMENT			
PAYMENT 			
SUBMISSION OF FINAL DOCUMENTS			
PS3			
WELDING CERTIFICATES			if there is site welding
MILL CERTS			from suppliers
