Category,Code,Name,Width,Thickness,Diameter,Height,Length,Weight_per_meter,Standard_lengths,Grade,Standard
SHS,SHS020020015,Square Hollow Section 20x20x1.5mm,20,1.5,,20,,0.89,6.1,C350LO,AS/NZS 1163
SHS,SHS020020020,Square Hollow Section 20x20x2mm,20,2,,20,,1.15,6.1,C350LO,AS/NZS 1163
SHS,SHS025025015,Square Hollow Section 25x25x1.5mm,25,1.5,,25,,1.12,6.1,C350LO,AS/NZS 1163
SHS,SHS025025020,Square Hollow Section 25x25x2mm,25,2,,25,,1.45,6.1,C350LO,AS/NZS 1163
SHS,SHS025025025,Square Hollow Section 25x25x2.5mm,25,2.5,,25,,1.77,6.1,C350LO,AS/NZS 1163
SHS,SHS030030015,Square Hollow Section 30x30x1.5mm,30,1.5,,30,,1.35,6.1,C350LO,AS/NZS 1163
SHS,SHS030030020,Square Hollow Section 30x30x2mm,30,2,,30,,1.75,6.1,C350LO,AS/NZS 1163
SHS,SHS030030025,Square Hollow Section 30x30x2.5mm,30,2.5,,30,,2.14,6.1,C350LO,AS/NZS 1163
SHS,SHS030030030,Square Hollow Section 30x30x3mm,30,3,,30,,2.52,6.1,C350LO,AS/NZS 1163
SHS,SHS035035020,Square Hollow Section 35x35x2mm,35,2,,35,,2.05,6.1,C350LO,AS/NZS 1163
SHS,SHS035035025,Square Hollow Section 35x35x2.5mm,35,2.5,,35,,2.51,6.1,C350LO,AS/NZS 1163
SHS,SHS035035030,Square Hollow Section 35x35x3mm,35,3,,35,,2.96,6.1,C350LO,AS/NZS 1163
SHS,SHS035035035,Square Hollow Section 35x35x3.5mm,35,3.5,,35,,3.40,6.1,C350LO,AS/NZS 1163
SHS,SHS040040020,Square Hollow Section 40x40x2mm,40,2,,40,,2.35,6.1,C350LO,AS/NZS 1163
SHS,SHS040040025,Square Hollow Section 40x40x2.5mm,40,2.5,,40,,2.88,6.1,C350LO,AS/NZS 1163
SHS,SHS040040030,Square Hollow Section 40x40x3mm,40,3,,40,,3.40,6.1,C350LO,AS/NZS 1163
SHS,SHS040040035,Square Hollow Section 40x40x3.5mm,40,3.5,,40,,3.91,6.1,C350LO,AS/NZS 1163
SHS,SHS040040040,Square Hollow Section 40x40x4mm,40,4,,40,,4.42,6.1,C350LO,AS/NZS 1163
SHS,SHS050050020,Square Hollow Section 50x50x2mm,50,2,,50,,2.95,6.1,C350LO,AS/NZS 1163
SHS,SHS050050025,Square Hollow Section 50x50x2.5mm,50,2.5,,50,,3.63,6.1,C350LO,AS/NZS 1163
SHS,SHS050050030,Square Hollow Section 50x50x3mm,50,3,,50,,4.30,6.1,C350LO,AS/NZS 1163
SHS,SHS050050035,Square Hollow Section 50x50x3.5mm,50,3.5,,50,,4.96,6.1,C350LO,AS/NZS 1163
SHS,SHS050050040,Square Hollow Section 50x50x4mm,50,4,,50,,5.62,6.1,C350LO,AS/NZS 1163
SHS,SHS050050050,Square Hollow Section 50x50x5mm,50,5,,50,,6.92,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS065065025,Square Hollow Section 65x65x2.5mm,65,2.5,,65,,4.76,6.1,C350LO,AS/NZS 1163
SHS,SHS065065030,Square Hollow Section 65x65x3mm,65,3,,65,,5.66,6.1,C350LO,AS/NZS 1163
SHS,SHS065065035,Square Hollow Section 65x65x3.5mm,65,3.5,,65,,6.55,6.1,C350LO,AS/NZS 1163
SHS,SHS065065040,Square Hollow Section 65x65x4mm,65,4,,65,,7.43,6.1,C350LO,AS/NZS 1163
SHS,SHS065065050,Square Hollow Section 65x65x5mm,65,5,,65,,9.17,6.1,C350LO,AS/NZS 1163
SHS,SHS065065060,Square Hollow Section 65x65x6mm,65,6,,65,,10.88,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS075075025,Square Hollow Section 75x75x2.5mm,75,2.5,,75,,5.51,6.1,C350LO,AS/NZS 1163
SHS,SHS075075030,Square Hollow Section 75x75x3mm,75,3,,75,,6.55,6.1,C350LO,AS/NZS 1163
SHS,SHS075075035,Square Hollow Section 75x75x3.5mm,75,3.5,,75,,7.58,6.1,C350LO,AS/NZS 1163
SHS,SHS075075040,Square Hollow Section 75x75x4mm,75,4,,75,,8.61,6.1,C350LO,AS/NZS 1163
SHS,SHS075075050,Square Hollow Section 75x75x5mm,75,5,,75,,10.64,6.1,C350LO,AS/NZS 1163
SHS,SHS075075060,Square Hollow Section 75x75x6mm,75,6,,75,,12.64,6.1,C350LO,AS/NZS 1163
SHS,SHS089089030,Square Hollow Section 89x89x3mm,89,3,,89,,7.88,6.1,C350LO,AS/NZS 1163
SHS,SHS089089040,Square Hollow Section 89x89x4mm,89,4,,89,,10.40,6.1,C350LO,AS/NZS 1163
SHS,SHS089089050,Square Hollow Section 89x89x5mm,89,5,,89,,12.87,6.1,C350LO,AS/NZS 1163
SHS,SHS089089060,Square Hollow Section 89x89x6mm,89,6,,89,,15.30,6.1,C350LO,AS/NZS 1163
SHS,SHS100100030,Square Hollow Section 100x100x3mm,100,3,,100,,8.84,6.1,C350LO,AS/NZS 1163
SHS,SHS100100040,Square Hollow Section 100x100x4mm,100,4,,100,,11.69,6.1,C350LO,AS/NZS 1163
SHS,SHS100100050,Square Hollow Section 100x100x5mm,100,5,,100,,14.49,6.1,C350LO,AS/NZS 1163
SHS,SHS100100060,Square Hollow Section 100x100x6mm,100,6,,100,,17.25,6.1,C350LO,AS/NZS 1163
SHS,SHS100100080,Square Hollow Section 100x100x8mm,100,8,,100,,22.59,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS100100090,Square Hollow Section 100x100x9mm,100,9,,100,,25.12,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS125125040,Square Hollow Section 125x125x4mm,125,4,,125,,14.97,6.1,C350LO,AS/NZS 1163
SHS,SHS125125050,Square Hollow Section 125x125x5mm,125,5,,125,,18.56,6.1,C350LO,AS/NZS 1163
SHS,SHS125125060,Square Hollow Section 125x125x6mm,125,6,,125,,22.11,6.1,C350LO,AS/NZS 1163
SHS,SHS125125080,Square Hollow Section 125x125x8mm,125,8,,125,,29.01,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS125125090,Square Hollow Section 125x125x9mm,125,9,,125,,32.30,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS150150050,Square Hollow Section 150x150x5mm,150,5,,150,,22.63,6.1,C350LO,AS/NZS 1163
SHS,SHS150150060,Square Hollow Section 150x150x6mm,150,6,,150,,26.96,6.1,C350LO,AS/NZS 1163
SHS,SHS150150080,Square Hollow Section 150x150x8mm,150,8,,150,,35.43,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS150150090,Square Hollow Section 150x150x9mm,150,9,,150,,39.48,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS150150100,Square Hollow Section 150x150x10mm,150,10,,150,,43.50,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS150150120,Square Hollow Section 150x150x12mm,150,12,,150,,51.40,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS200200060,Square Hollow Section 200x200x6mm,200,6,,200,,36.67,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS200200080,Square Hollow Section 200x200x8mm,200,8,,200,,48.27,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS200200090,Square Hollow Section 200x200x9mm,200,9,,200,,53.85,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS200200100,Square Hollow Section 200x200x10mm,200,10,,200,,59.40,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS200200120,Square Hollow Section 200x200x12mm,200,12,,200,,70.30,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS250250060,Square Hollow Section 250x250x6mm,250,6,,250,,46.37,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS250250080,Square Hollow Section 250x250x8mm,250,8,,250,,61.11,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS250250090,Square Hollow Section 250x250x9mm,250,9,,250,,68.22,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS250250100,Square Hollow Section 250x250x10mm,250,10,,250,,75.30,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS250250120,Square Hollow Section 250x250x12mm,250,12,,250,,89.20,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS250250160,Square Hollow Section 250x250x16mm,250,16,,250,,116.20,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS300300090,Square Hollow Section 300x300x9mm,300,9,,300,,82.60,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS300300100,Square Hollow Section 300x300x10mm,300,10,,300,,91.20,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS300300120,Square Hollow Section 300x300x12mm,300,12,,300,,108.10,8.0;12.0,C350LO,AS/NZS 1163
SHS,SHS300300125,Square Hollow Section 300x300x12.5mm,300,12.5,,300,,112.30,8.0;12.0,C350LO,AS/NZS 1163
RHS,RHS050025015,Rectangular Hollow Section 50x25x1.5mm,50,1.5,,25,,1.35,6.1,C350LO,AS/NZS 1163
RHS,RHS050025020,Rectangular Hollow Section 50x25x2mm,50,2,,25,,1.75,6.1,C350LO,AS/NZS 1163
RHS,RHS050025025,Rectangular Hollow Section 50x25x2.5mm,50,2.5,,25,,2.14,6.1,C350LO,AS/NZS 1163
RHS,RHS050025030,Rectangular Hollow Section 50x25x3mm,50,3,,25,,2.52,6.1,C350LO,AS/NZS 1163
RHS,RHS065035015,Rectangular Hollow Section 65x35x1.5mm,65,1.5,,35,,1.73,6.1,C350LO,AS/NZS 1163
RHS,RHS065035020,Rectangular Hollow Section 65x35x2mm,65,2,,35,,2.25,6.1,C350LO,AS/NZS 1163
RHS,RHS065035025,Rectangular Hollow Section 65x35x2.5mm,65,2.5,,35,,2.76,6.1,C350LO,AS/NZS 1163
RHS,RHS065035030,Rectangular Hollow Section 65x35x3mm,65,3,,35,,3.26,6.1,C350LO,AS/NZS 1163
RHS,RHS065035035,Rectangular Hollow Section 65x35x3.5mm,65,3.5,,35,,3.76,6.1,C350LO,AS/NZS 1163
RHS,RHS075050025,Rectangular Hollow Section 75x50x2.5mm,75,2.5,,50,,3.63,6.1,C350LO,AS/NZS 1163
RHS,RHS075050030,Rectangular Hollow Section 75x50x3mm,75,3,,50,,4.30,6.1,C350LO,AS/NZS 1163
RHS,RHS075050035,Rectangular Hollow Section 75x50x3.5mm,75,3.5,,50,,4.96,6.1,C350LO,AS/NZS 1163
