"Category","Code","Name","Width (mm)","Width1 (mm)","Width2 (mm)","Thickness (mm)","Diameter (mm)","Depth (mm)","Flange Thickness (mm)","Web Thickness (mm)","Length (mm)","Weight (kg/m)","Length Options (m)","Grade","Standard","Coating","Price per kg ($)","Price per m ($)","Surface Area (m²/m)","Supplier","Available Lengths (m)","Sheet Size (mm)","Outside Diameter (mm)","Inside Diameter (mm)","Corner Radius (mm)","Wall Thickness (mm)","Nominal Size","Finish Options","Mass per Unit (kg)","Active"
"Structural Channels","SC125065","Mild Steel Channel 125x65x7.5mm","125.00","","","7.50","","65.00","7.50","4.70","","11.900","6.0;9.0;12.0","G300","AS3679.1","","","","0.61","ASMUSS","","","","","","","","","","true"
"Cold Formed Channels","SC051025CF","Cold Formed Channel 50x25x3mm","50.00","","","3.00","","25.00","3.00","3.00","","2.310","6","HA-250","AS1594","","","","0.24","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC150037","Universal Column 162x154x37mm","162.00","","","37.00","","154.00","11.50","8.10","","37.200","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","0.89","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA05025","Duragal Angle 50x50x2.5mm","50.00","","","2.50","","","","","","1.810","6","350","TS100","","","","0.20","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA05050","Duragal Angle 50x50x5mm","50.00","","","5.00","","","","","","3.420","6","450","TS100","","","","0.19","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 300","SRD16","Grade 300 Reinforcing Bar 16mm","","","","","16.00","","","","","1.580","6","300","AS/NZS 4671","","","","0.05","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 300","SRD20","Grade 300 Reinforcing Bar 20mm","","","","","20.00","","","","","2.470","6","300","AS/NZS 4671","","","","0.06","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 500","SRHD16","Grade 500 Reinforcing Bar 16mm","","","","","16.00","","","","","1.580","6","500","AS/NZS 4671","","","","0.05","ASMUSS","","","","","","","","","","true"
"Reid Bar","SRRB12","Reid Bar 12mm","","","","","12.00","","","","","0.890","6","500E","AS/NZS 4671","","","","0.04","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 500","SRHD12","Grade 500 Reinforcing Bar 12mm","","","","","12.00","","","","","0.890","6","500","AS/NZS 4671","","","","0.04","ASMUSS","","","","","","","","","","true"
